,Filename,Overview,Notes,Field,Format,Explanation
,,,,kv_filepathTh,string,File path of a small thumbnail of the image [insufficient documentation]
,,,,kv_fileurl,string,URL to the image file [insufficient documentation]
,,,,kv_fileurlLTh,string,URL to a large thumbnail of the image file [insufficient documentation]
,,,,kv_fileurlProc,string,URL to the processed image [insufficient documentation]
,,,,kv_fileurlTh,string,URL to a small thumbnail of the image [insufficient documentation]
,,,,kv_from,int,Likely the 'from' node of the OSM Way found nearest to the image [insufficient documentation]
,,,,kv_gpsAccuracy,float,"Horizontal accuracy of the GPS-tracked photo, in metres"
,,,,kv_hasObd,int,"A flag that confirms the presence of an OBD connection at the time the sequence was captured, in 1 or 0"
,,,,kv_headers,float,"Seems to be some sort of angle, in degrees [insufficient documentation]"
,,,,kv_imagePartProjection,string,Seems to indicate something about the projection of the image [insufficient documentation]
,,,,kv_isUnwrapped,int,"Seems to be a flag for something, in 1 or 0 [insufficient documentation]"
,,,,kv_isWrapped,int,"Seems to be a flag for something, in 1 or 0 [insufficient documentation]"
,,,,kv_matchLat,float,Seems to be the latitude of some sort of matched location of the image [insufficient documentation]
,,,,kv_matchLng,float,Seems to be the longitude of some sort of matched location of the image [insufficient documentation]
,,,,kv_matchSegmentId,float,[insufficient documentation]
,,,,kv_name,string,Name of the image [insufficient documentation]
,,,,kv_orgCode,string,[insufficient documentation]
,,,,kv_projectionYaw,float,"The projection on yaw axis, horizontal rotation in degrees, min -180, max 180"
,,,,kv_rawDataId,int,Some sort of ID for the raw data [insufficient documentation]
,,,,kv_status,string,"Status of the photo: ""public"", ""uploading"", ""processing"", ""failed"", ""deleted"""
,,,,kv_storage,string,Storage of the image [insufficient documentation]
,,,,kv_to,int,Likely the 'to' node of the OSM Way found nearest to the image [insufficient documentation]
,,,,kv_unwrapVersion,int,[insufficient documentation]
,,,,kv_videoId,int,ID of the video [insufficient documentation]
,,,,kv_videoIndex,int,Identifier representing a specific video index [insufficient documentation]
,,,,kv_visibility,string,"Indicates the visibility of the image: ""public"", ""private"", etc. [insufficient documentation]"
,,,,kv_wayId,int,Likely the ID of the OSM Way found nearest to the image [insufficient documentation]
,,,,kv_wrapVersion,int,[insufficient documentation]
,,,,kv_address,string,Address of the image's location [insufficient documentation]
,,,,kv_countryCode,string,Country code of the country where the image is located [insufficient documentation]
,,,,kv_deviceName,string,Name of the image capturing device [insufficient documentation]
,,,,kv_distanceSeq,float,Distance of the sequence recorded in kilometres [insufficient documentation]
,,,,kv_sequenceType,string,"Type of the sequence, e.g. video [insufficient documentation]"
,,,,kv_user,json,Identifier and username of the contributor [insufficient documentation]
10,metadata_mly1.csv,Contains the metadata of each SVI originally provided by Mapillary.,"Split into five parts (metadata_mly1, metadata_mly2, metadata_mly3, metadata_mly4, metadata_mly5) to reduce file size.",uuid,string,"Universally Unique IDentifier, unique for every image"
,,,,source,string,"Source of the image, either Mapillary or KartaView"
,,,,orig_id,int,Original ID of the image as specified by Mapillary or KartaView
,,,,mly_captured_at,int,UNIX timestamp at which the image was captured
,,,,mly_camera_parameters,array,"A string representation of an array of float: focal length, k1, k2"
,,,,mly_quality_score,float,Score that indicates how good the image is (in experimental stage) [insufficient documentation]
,,,,mly_altitude,float,Original altitude from camera Exif calculated from sea level
,,,,mly_atomic_scale,float,Scale of the SfM reconstruction around the image
,,,,mly_exif_orientation,int,Orientation of the camera as given by the Exif tag
,,,,mly_is_pano,bool,Indicates whether an image is panoramic
,,,,mly_organization_id,int,ID of the organisation under which the image was collected
11,metadata_mly2.csv,,,uuid,string,"Universally Unique IDentifier, unique for every image"
,,,,source,string,"Source of the image, either Mapillary or KartaView"
,,,,orig_id,int,Original ID of the image as specified by Mapillary or KartaView
,,,,mly_computed_altitude,float,"Altitude after running image processing, from sea level"
,,,,mly_computed_compass_angle,float,Compass angle (or heading) after running image processing
,,,,mly_computed_geometry,GeoJSON point,Location after running image processing
,,,,mly_computed_rotation,array,A string representation of an array of corrected orientation of the image
12,metadata_mly3.csv,,,uuid,string,"Universally Unique IDentifier, unique for every image"
,,,,source,string,"Source of the image, either Mapillary or KartaView"
,,,,orig_id,int,Original ID of the image as specified by Mapillary or KartaView
,,,,mly_make,string,The manufacturer name of the camera device
,,,,mly_model,string,The model or product series name of the camera device
,,,,mly_creator.username,string,The username who owns and uploaded the image
,,,,mly_creator.id,int,The user ID who owns and uploaded the image
13,metadata_mly4.csv,,,uuid,string,"Universally Unique IDentifier, unique for every image"
,,,,source,string,"Source of the image, either Mapillary or KartaView"
,,,,orig_id,int,Original ID of the image as specified by Mapillary or KartaView
,,,,mly_merge_cc,int,ID of the connected component of images that were aligned together
,,,,mly_mesh.id,int,Contains the ID of the mesh
,,,,mly_mesh.url,string,Contains the URL to the mesh
14,metadata_mly5.csv,,,uuid,string,"Universally Unique IDentifier, unique for every image"
,,,,source,string,"Source of the image, either Mapillary or KartaView"
,,,,orig_id,int,Original ID of the image as specified by Mapillary or KartaView
,,,,mly_sfm_cluster.id,int,Contains the ID of the point cloud in .ply format
,,,,mly_sfm_cluster.url,string,Contains the URL to the point cloud in .ply format
15,osm.csv,Contains the information of the OSM street found nearest to each image within its 10 m radius.,"The calculation is as accurate as the location of the image given by the source, which also relies on the accuracy of the capturing devices. The accuracy could also be affected by the accuracy of the OSM dataset. OSM street networks were obtained through the OSMnx package.",uuid,string,"Universally Unique IDentifier, unique for every image"
,,,,source,string,"Source of the image, either Mapillary or KartaView"
,,,,orig_id,int,Original ID of the image as specified by Mapillary or KartaView
,,,,snap_dist,float,The distance between the location of the image and the nearest road to it 
,,,,u,int,Unique identifier of the end node associated with the edge
,,,,v,int,Unique identifier of the other end node associated with the edge
,,,,key,int,"A value that differentiates between parallel edges using the same u,v pair"
,,,,osmid,int,ID(s) of the OSM streets associated with the edge
,,,,oneway,bool,A flag that indicates whether the edge is one-way
,,,,lanes,int,Number of lanes associated with the edge
,,,,name,string,Street names associated with the edge
,,,,highway,string,"Type of road associated with the edge (e.g. primary, secondary, residential, footway, cycleway, etc.)"
,,,,type_highway,string,"Type of road associated with the edge in terms of whether it's for driving, cycling, walking, or others"
,,,,maxspeed,string,Maximum speed limit associated with the edge
,,,,junction,string,Indicates the type of junction associated with the edge
,,,,length,float,length of the edge
,,,,from,int,Unique identifier of the 'from' node associated with the edge (either u or v)
,,,,to,int,Unique identifier of the 'to' node associated with the edge (either u or v)
,,,,ref,string,"Reference number or code for roads, highway exits, routes, entrances to big buildings etc"
,,,,tunnel,string,Indicates whether the road is passing a tunnel and/or the type of tunnel
,,,,bridge,string,Indicates whether the road is on a bridge and/or the type of bridge
,,,,service,string,Indicates whether the road is a service road and/or the type of service road
,,,,access,string,Indicates legal permissions/restrictions of the accessibility of the road
,,,,road_width,float,Width of the road from kerb to kerb
,,,,area,string,Indicates whether the way is closed and used to define an area
,,,,est_width,float,Estimated width of the road from kerb to kerb
,,,,reversed,bool,"Indicates roads that alternate between different directions regularly but infrequently, typically only a few times a day"
16,perception.csv,"Contains the scores, in scale of 0-10, predicted for each of six perceptual dimensions (Safe, Lively, Beautiful, Wealthy, Boring, Depressing).","Contains the predicted scores (in scale of 0-10, high score indicates strong feeling) of human subjective perceptions, using model trained on the Place Pulse 2.0. Accuracy depends on model performance.",uuid,string,"Universally Unique IDentifier, unique for every image"
,,,,source,string,"Source of the image, either Mapillary or KartaView"
,,,,orig_id,int,Original ID of the image as specified by Mapillary or KartaView
,,,,Safe,float,Score for 'safe' (in scale of 0-10)
,,,,Lively,float,Score for 'lively' (in scale of 0-10)
,,,,Beautiful,float,Score for 'beautiful' (in scale of 0-10)
,,,,Wealthy,float,Score for 'Wealthy' (in scale of 0-10)
,,,,Boring,float,Score for 'Boring' (in scale of 0-10)
,,,,Depressing,float,Score for 'Depressing' (in scale of 0-10)
17,places365.csv,Contains the place/scene classification for each image.,Obtained from model pre-trained on the Places dataset which has over 400 categories for a variety of places and scenes. Accuracy depends on model performance.,uuid,string,"Universally Unique IDentifier, unique for every image"
,,,,source,string,"Source of the image, either Mapillary or KartaView"
,,,,orig_id,int,Original ID of the image as specified by Mapillary or KartaView
,,,,Safe,string,The type of place or scene classified for the image
18,season.csv,Contains the season determined for each image based on climate zone and month.,"Accuracy depends on the temporal and spatial accuracy of the image given by source, and the accuracy of the Köppen climate clasiffication zones used.",uuid,string,"Universally Unique IDentifier, unique for every image"
,,,,source,string,"Source of the image, either Mapillary or KartaView"
,,,,orig_id,int,Original ID of the image as specified by Mapillary or KartaView
,,,,season,string,"Denotes which season the image is taken in: tropical, spring, summer, autumn, or winter"
19,segmentation.csv,Contains the count of segmented pixels of each semantic classes (65 categories in total) identified in the image.,Based on panoptic segmentation results obtained with Mask2former model. Accuracy is dependent on model performance.,uuid,string,"Universally Unique IDentifier, unique for every image"
,,,,source,string,"Source of the image, either Mapillary or KartaView"
,,,,orig_id,int,Original ID of the image as specified by Mapillary or KartaView
,,,,Bird,int,Number of pixels of target semantic class
,,,,Ground-Animal,int,Number of pixels of target semantic class
,,,,Curb,int,Number of pixels of target semantic class
,,,,Fence,int,Number of pixels of target semantic class
,,,,Guard-Rail,int,Number of pixels of target semantic class
,,,,Barrier,int,Number of pixels of target semantic class
,,,,Wall,int,Number of pixels of target semantic class
,,,,Bike-Lane,int,Number of pixels of target semantic class
,,,,Crosswalk---Plain,int,Number of pixels of target semantic class
,,,,Curb-Cut,int,Number of pixels of target semantic class
,,,,Parking,int,Number of pixels of target semantic class
,,,,Pedestrian-Area,int,Number of pixels of target semantic class
,,,,Rail-Track,int,Number of pixels of target semantic class
,,,,Road,int,Number of pixels of target semantic class
,,,,Service-Lane,int,Number of pixels of target semantic class
,,,,Sidewalk,int,Number of pixels of target semantic class
,,,,Bridge,int,Number of pixels of target semantic class
,,,,Building,int,Number of pixels of target semantic class
,,,,Tunnel,int,Number of pixels of target semantic class
,,,,Person,int,Number of pixels of target semantic class
,,,,Bicyclist,int,Number of pixels of target semantic class
,,,,Motorcyclist,int,Number of pixels of target semantic class
,,,,Other-Rider,int,Number of pixels of target semantic class
,,,,Lane-Marking---Crosswalk,int,Number of pixels of target semantic class
,,,,Lane-Marking---General,int,Number of pixels of target semantic class
,,,,Mountain,int,Number of pixels of target semantic class
,,,,Sand,int,Number of pixels of target semantic class
,,,,Sky,int,Number of pixels of target semantic class
,,,,Snow,int,Number of pixels of target semantic class
,,,,Terrain,int,Number of pixels of target semantic class
,,,,Vegetation,int,Number of pixels of target semantic class
,,,,Water,int,Number of pixels of target semantic class
,,,,Banner,int,Number of pixels of target semantic class
,,,,Bench,int,Number of pixels of target semantic class
,,,,Bike-Rack,int,Number of pixels of target semantic class
,,,,Billboard,int,Number of pixels of target semantic class
,,,,Catch-Basin,int,Number of pixels of target semantic class
,,,,CCTV-Camera,int,Number of pixels of target semantic class
,,,,Fire-Hydrant,int,Number of pixels of target semantic class
,,,,Junction-Box,int,Number of pixels of target semantic class
,,,,Mailbox,int,Number of pixels of target semantic class
,,,,Manhole,int,Number of pixels of target semantic class
,,,,Phone-Booth,int,Number of pixels of target semantic class
,,,,Pothole,int,Number of pixels of target semantic class
,,,,Street-Light,int,Number of pixels of target semantic class
,,,,Pole,int,Number of pixels of target semantic class
,,,,Traffic-Sign-Frame,int,Number of pixels of target semantic class
,,,,Utility-Pole,int,Number of pixels of target semantic class
,,,,Traffic-Light,int,Number of pixels of target semantic class
,,,,Traffic-Sign-(Back),int,Number of pixels of target semantic class
,,,,Traffic-Sign-(Front),int,Number of pixels of target semantic class
,,,,Trash-Can,int,Number of pixels of target semantic class
,,,,Bicycle,int,Number of pixels of target semantic class
,,,,Boat,int,Number of pixels of target semantic class
,,,,Bus,int,Number of pixels of target semantic class
,,,,Car,int,Number of pixels of target semantic class
,,,,Caravan,int,Number of pixels of target semantic class
,,,,Motorcycle,int,Number of pixels of target semantic class
,,,,On-Rails,int,Number of pixels of target semantic class
,,,,Other-Vehicle,int,Number of pixels of target semantic class
,,,,Trailer,int,Number of pixels of target semantic class
,,,,Truck,int,Number of pixels of target semantic class
,,,,Wheeled-Slow,int,Number of pixels of target semantic class
,,,,Car-Mount,int,Number of pixels of target semantic class
,,,,Ego-Vehicle,int,Number of pixels of target semantic class
,,,,Total,int,Total number of pixels in image
,,,,green_view_index,float,Calculated by dividing 'Vegetation' column by 'Total' column
,,,,sky_view_index,float,Calculated by dividing 'Sky' column by 'Total' column
20,simplemaps.csv,"Contains the information of the city associated with the image, obtained from the World Cities database by Simplemaps.","The calculation is as accurate as the location of the image given by the source, which also relies on the accuracy of the capturing devices. The accuracy could also be affected by the accuracy of the World Cities database.",uuid,string,"Universally Unique IDentifier, unique for every image"
,,,,source,string,"Source of the image, either Mapillary or KartaView"
,,,,orig_id,int,Original ID of the image as specified by Mapillary or KartaView
,,,,city,string,The name of the city/town as a Unicode string (e.g. Goiânia)
,,,,city_ascii,string,The name of the city/town as an ASCII string (e.g. Goiania). Left blank if ASCII representation is not possible.
,,,,city_id,int,A 10-digit unique id generated by SimpleMaps
,,,,city_lat,float,The latitude of the city/town
,,,,city_lon,float,The longitude of the city/town
,,,,country,string,The name of the city/town's country
,,,,iso2,string,The alpha-2 iso code of the country
,,,,iso3,string,The alpha-3 iso code of the country
,,,,admin_name,string,The name of the highest level administration region of the city town (e.g. a US state or Canadian province). Possibly blank.
,,,,capital,string,"Blank string if not a capital, otherwise: primary - country's capital (e.g. Washington D.C.), admin - first-level admin capital (e.g. Little Rock, AR), minor - lower-level admin capital (e.g. Fayetteville, AR)"
,,,,population,float,"An estimate of the city's urban population. Only available for some (prominent) cities. If the urban population is not available, the municipal population is used."
,,,,continent,string,The continent the image is located at
