uuid,source,orig_id,GID_0,COUNTRY,CC_1,ENGTYPE_1,GID_1,HASC_1,ISO_1,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,CC_2,ENGTYPE_2,GID_2,HASC_2,NAME_2,NL_NAME_2,TYPE_2,VARNAME_2,CC_3,ENGTYPE_3,GID_3,HASC_3,NAME_3,NL_NAME_3,TYPE_3,VARNAME_3,CC_4,ENGTYPE_4,GID_4,NAME_4,TYPE_4,VARNAME_4,CC_5,ENGTYPE_5,GID_5,NAME_5,TYPE_5
0035abe0-b18e-4882-a89e-2309efde5269,Mapillary,4151522658204587,PER,Peru,15,Province,PER.15_1,PE.LP,,Lima Province,,Provincia,,,Province,PER.15.1_1,PE.LP.LI,Lima,,Provincia,,,District,PER.15.1.4_1,,Breña,,Distrito,,,,,,,,,,,,
0035ae9c-952a-4bb8-8261-af3270e04c82,KartaView,162190791,USA,United States,,State,USA.3_1,US.AZ,US-AZ,Arizona,,State,AZ|Ariz.,,County,USA.3.8_1,US.AZ.MA,Maricopa,,County,,,,,,,,,,,,,,,,,,,,
0035b19d-31b6-4013-abf7-82eecfa63c9f,Mapillary,531533577901295,SVN,Slovenia,,Statistical Region,SVN.7_1,SI.LJ,,Osrednjeslovenska,,Statisticna Regije,Ljubljana,,Commune|Municipality,SVN.7.14_1,SI.LJ.LJ,Ljubljana,,Opcine,,,,,,,,,,,,,,,,,,,,
0035b26f-bb82-4603-a8f4-280b24258150,Mapillary,1360621907654208,BRA,Brazil,,State,BRA.25_1,BR.SP,,São Paulo,,Estado,,3540606.0,Municipality,BRA.25.456_2,,Porto Feliz,,Município,,,,,,,,,,,,,,,,,,,,
0035b366-338b-4442-85a2-0fe143ecd42a,Mapillary,3039877139573408,MNG,Mongolia,,Municipality,MNG.21_1,MN.UB,MN-1,Ulaanbaatar,,Hot,Oulan-Bator|Ulan Bator|Ulan Bato,,Sum,MNG.21.1_1,,Ulan Bator,,Soum,,,,,,,,,,,,,,,,,,,,
0035b489-7e21-44a0-820c-a5cc67cbb333,Mapillary,770469946944360,JPN,Japan,,Prefecture,JPN.16_1,JP.IW,JP-03,Iwate,岩手県,Ken,,,City,JPN.16.25_1,,Ōshū,奥州市,Shi,,,,,,,,,,,,,,,,,,,,
0035b719-f52d-4d75-b8ef-c4dd20d08803,Mapillary,310245647387560,TWN,Taiwan,,Special Municipality,TWN.6_1,TW.TP,TW-TPE,Taipei,台北,Zhíxiáshì,Taibei|Taipé|Taipeh,,Special Municipality,TWN.6.1_1,TW.TP.TC,Taipei,台北市,Zhíxiáshì,Táiběi Shì,,,,,,,,,,,,,,,,,,,
0035b7ff-5f5b-45cb-b6fc-fce4c64ab5dd,Mapillary,1188972438515486,JPN,Japan,,Metropolis,JPN.41_1,JP.TK,JP-13,Tokyo,東京都,To,Edo|Yedo|Tokio|T¢quio,,Special Ward,JPN.41.46_1,,Shinagawa,品川区,Special Ward,,,,,,,,,,,,,,,,,,,,
0035baa0-2104-4eda-ab9d-77921f6b28f3,Mapillary,194232792548419,TUR,Turkey,,Province,TUR.40_1,TR.IB,TR-34,Istanbul,,Il,İstanbul|Constantinople|Estambul,,District,TUR.40.32_1,TR.IB.SI,Şişli,,District,,,,,,,,,,,,,,,,,,,,
0035baaf-86ba-402a-89f2-695a3bbecda3,Mapillary,3010674985919596,COL,Colombia,,Capital District,COL.5_2,CO.DC,,Bogotá D.C.,,Distrito Capital,Distrito Capital de Bogotá,,Municipality,COL.5.1_2,CO.DC,Bogotá D.C.,,Municipio,,,,,,,,,,,,,,,,,,,,
